fold,participant,windows,mae,rmse,corr
94,713a6a94988cc13bf0bb50ad0cb0a015,3,5.68001503987083,5.969548483783165,0.30961411486126345
95,73e13f8273906f7f43a077f95ec48e7d,21,4.33011845484274,4.764869523129918,0.5494240482829794
96,76b564dca3ab4d899e5a30d3cbcb0aac,4,1.674745075998012,2.230534105613048,0.7536950591730903
97,791c580346256bca5c697d19170a50b5,11,2.65727843820543,3.515369830642716,0.41509122670111087
98,79d8490ab94fc7cd6530b1f22593d708,7,3.6757950876949996,4.154368381218992,0.9452916081731706
99,7a5f7cc91bafe10c9708342bb197ea58,15,2.692394500871615,3.4827040672444225,0.6873383095767236
100,7d2c632a05bbb03ca97555d61be83c41,27,3.357148676071716,4.0103907747620235,0.4292935004495467
101,7d41e1ac6994aa87a10a923b31b16cd8,3,0.3672734206940798,0.5092899325242496,0.9980121187920624
102,7dcfc929e033d32b768ff4b51bd6a748,10,4.185921273795566,5.0595237957568235,0.9314808469425824
103,7e22b6d9cb821d7004409da02d95cb64,5,2.8915755981715408,3.3256665689105698,0.01742935809861538
104,800994037be85bdfd6b3e43be70d02b3,8,5.024296525441624,5.723808245265871,0.7835081828250261
105,8391d8b451084771d0affcc26e34d773,9,3.3260862979940793,3.7165486904022482,0.8570898718324782
106,83a37a7ffd416a2e0a863c86166a97c8,7,2.7905584016530427,3.9361295060711674,0.7965511372533601
107,83e4705b8ead02d2659f4d4241183e17,31,3.212556030432057,3.8661046969069357,0.5615697714310758
108,84120765740b5395aa49a2feb12fbb43,22,4.436451735986014,5.23339359904068,0.5692613937830465
109,84875d7ec9c81d58d687aa4805c35c77,8,3.7209288891433685,4.537849480275739,0.7165853837719321
110,8617ddac1f48b148e3683738519b2e7a,5,4.100813326205451,4.995691206332353,0.6059643522150158
111,862f10a8c357e957a59d122077b3a5ad,30,2.129152767001245,2.6987166185543194,0.31924433957973875
112,86a13f6d0bb7070ca042d60b2a582c4c,11,3.9402826680121605,5.068404193910491,0.8025326137576996
113,8730e74690f38a87355bf45b00fc220e,9,4.811475198316046,5.492769620060166,0.33414833295581153
114,87d88cba80cd67d705f61405fbe40da9,19,3.9948855993004795,4.518342844541471,0.6769419296611615
115,8c0c301d93ca93cae5c090caf21816ec,18,3.1131843348394472,3.7189819193230673,0.8695721030228594
116,8c644d8cbd193c5575bb826a8abaa245,4,4.850757820552973,5.086792058770091,0.7792760446516912
117,8c8ee0b0491acee56e6346c2af5c6cf4,13,3.9476378034796062,4.93071363220283,0.7896952429757799
118,8ccf6026d9114437e881d73faa34ea51,9,4.406553859776538,4.923871654232541,0.4894964822294066
119,8e12cde03a0eaf1a9c41596a81a1cf59,5,2.96450622825846,3.690915849489912,0.4289675441771672
120,8ee53a46a77476104276e6a1af54472c,12,3.747359629500234,4.160339127460632,0.5593602915741107
121,8ee7d10d8b836222ee69ff04247971a4,1,0.1522211572169372,0.1522211572169372,nan
122,8feafc5db9bf59d00a21335e69b57804,11,3.4808113271084995,3.747880693719459,0.593399795945864
123,920e275acd8721dad396513f4d7c99ea,35,3.5974034506739767,4.193673419640806,0.7768176932770033
124,964412e1937376da4b5a70412a600bc9,7,2.649986535825868,3.1328136501603323,0.7487999928090339
125,968356427b2638af0930896c8d4a48d5,4,1.4132488438410484,1.9094161129697247,0.7754983879806099
126,96cf40f9d3b2d69466161000cd69ae5c,10,0.9658043594458157,1.2854263446517413,0.916105677145706
127,97487f1632fbab90426f6760a0fe94ea,11,3.0152332737003538,4.95201728682065,0.7418888669755277
128,98e5152e1020930fb007145c1c60648b,8,2.1262502052295975,2.642062748977526,0.8455534326089792
129,993b20b5d910d05b5d79e0de71386a49,6,2.040942723322407,2.353338608814358,0.806223864075862
130,9a67ed145c6e7be55b1f744897316f71,1,4.5817540258607865,4.5817540258607865,nan
131,9e9e21ee5dbdb37ffda3225cd0403d34,2,5.348923611729977,5.484652383220609,1.0
132,a23be0935798553a76b4e74cfc1740f1,19,3.397009543390523,4.1279655955268995,0.46860980141926445
133,a2949761d01e0f82cdbcc71231431959,20,4.028447502113065,4.69847013969744,0.5142284305435576
134,a4dde9659b38b613f08b37c0c8bfa9eb,8,1.9776973246208922,2.600723333056354,0.6431326730265979
135,a4fcfc9e92d6861285d6c5979d2fd54b,21,2.3847234817231437,2.693194490851991,0.7359179811988965
136,a52b5e80b4c7a8e05f8cc0a16ae4ea9f,2,2.7183395133710047,3.3296029722031557,0.9999999999999998
137,a6c1b8b62cc50f9022f018b5198648a0,8,4.441042958203461,4.844518992101186,0.34579285826273276
138,a7a320d21e232075512a494c982dc17f,9,3.3705373355721573,3.572605790291469,0.18267623058656401
139,a7cb6ba9ef6b3878a4284b0d63afecd7,41,2.1649866852371766,3.162745983726639,0.6921604716351407
140,aa77ecb82c267ad01e9899413f072025,6,5.29516949083801,5.7880691246946485,0.5081339151636316
141,ab5ee451ce580a761fefd88f7b49a97f,2,2.2208550066169357,2.231321107840288,1.0
142,ac02afb2367b89fdcab1b1245e195b27,2,2.229422748708816,2.608682779257852,1.0
143,ac23ab17a31d1abeea72e408ac5871c1,6,3.5137975204119685,4.197233408817477,0.9359556578729702
144,ac70fe1f8115ac361f2023269c011c3e,18,2.9534606578474074,3.1251446159491585,0.7031589127152822
145,aeeb186fafcc356f44cae870555f4a0d,22,3.370770982632676,4.087574617052918,0.565278469315325
146,b17eeda399b312140dc40b8445a8e0a5,4,2.1649398775395343,2.9881567017706003,0.7861825774588022
147,b1fed5ab5fbd8a1b2fd93b925849a11c,15,4.7015918945783675,5.405267530474162,0.5959671861117299
148,b3db52ffec3adfc49eb061af2f2f2846,6,4.154118265415781,4.22169258572099,0.5713801779753082
149,b4d5a392109a5d0a0e6da33189e63511,1,1.16428391723777,1.16428391723777,nan
