fold,participant,windows,mae,rmse,corr
58,4a8ac645226348425b0a43a8373e394d,4,5.2136990089392565,5.728614273915523,0.6605494596332138
59,4b5eb55e64b6bc941796bf114149cab7,7,2.722215541701786,3.3963768076789522,0.7328982704503612
60,4e37495c9c7c8a17e8737e2c61cfe228,3,3.032350235783603,4.284872646254604,-0.985580985110016
61,4eeb9f06b3ff630aa8f81fd23e1dfe7b,11,3.30030192337,3.864476261882562,0.6912777514068201
62,50e32d5c464c892af7aa4b6a666e876d,7,5.373760115695397,5.810941181570667,0.3705289209512635
63,51ac1dd0849798d75614176ebff633be,4,2.594540076208597,3.1446891230476672,0.3445383268550877
64,54446e36f4601e2c4ab70c355baccc32,4,3.546934131849901,3.8947812690392083,0.7455247925792298
65,546901e10be0157c4fed40c04bfeaaa5,5,4.489367895000042,4.941380359453172,-0.187121062797904
66,557b44c8daf2ddb5d02313f20f2505b9,6,3.462669665885317,3.583663010155848,0.5466120188497731
67,5580eba4ad4d1266854f3fec95266bd2,10,3.7435274493506143,5.04484503614118,0.08132919635824713
68,58863d024fc04ff1c3082e2c81e14cf2,7,1.9868592593979837,2.336856141170699,0.9558165198828971
69,59256b077a34f2f4ed7bbf7670e53786,1,5.43032825837171,5.43032825837171,nan
70,596df3c263e97eb09d44a8535ec20ffa,1,2.968688236201512,2.968688236201512,nan
71,59cf760cd019690c9007452187578915,6,3.6301134492370988,3.902733833725953,0.9315668282681824
72,5a254d648a95146b403690f81da84bc3,4,0.8404753222866668,0.8419490926627743,0.9290955234106361
73,5c446b55e04c641913c09fd39d01d32b,15,3.257844204265283,3.713736555925328,0.7600505150284559
74,5e1d4d2718012c036ea65bfe3c80c0e7,17,3.5511657585146614,4.412164127509373,0.5464135787141903
75,5e8e425fb65143d25c73b88bd26638eb,1,3.845260089978857,3.845260089978857,nan
76,5fa34bfca33d0ced12ea991006fbc934,4,2.2684994882416016,2.861929803676104,0.8309757319023867
77,600713d94c8ebe9f12f7d12c6479a131,57,2.314302158240588,2.971917095318259,0.7349489281227791
78,61f9310e79c30ff4ff836fa065aee93a,16,2.6290443852715812,3.1400020139253684,0.7797975287676869
79,6294895f1093b3878b385812d65c3197,2,2.8373076072825656,3.0491011185345633,1.0
80,62caae288910745b5eb9dde5a9873179,9,3.1929735047829073,4.034799091919085,0.4589673802644748
81,62e43e3420646eaa7ecb44636abda31a,13,4.386831457169188,4.9198368519889,0.5860641555343962
82,632503a1df16a201a0fc5a1b91d3b01c,9,3.891491695063607,5.1284372406942715,0.5003789131349579
83,63e8142ef2fdd89aec0630ce6070831d,9,3.1197769872101366,3.5272796842882466,0.810145426912389
84,64f2d26b3835e5fa744c35f1709e9c39,3,2.7616513457883016,3.23670069462967,-0.03712100655122888
85,6683f5d8f1730b0fce6c1fd8b46ab76f,8,3.295051900893295,4.383388374695003,0.7713493378096244
86,690d25f3b083e647278ed85c6bb033ae,6,2.223450648349103,2.6164117739792565,0.7970331373424794
87,69d24b22972459bf83ab0c8eb24d13cc,1,0.36447121699795915,0.36447121699795915,nan
88,6b0083d00297f9c03e00b2cde889b666,5,3.9505675548219776,5.763191880844992,0.37059596161653463
89,6b22ac2851e90cebdb6bcc50288e031c,28,3.415483710725039,4.093590366402471,0.6861812293775469
90,6b4ad83b4ee50566e899f3b6c0fb7864,4,3.577897159177834,4.243970034005577,0.9550293191061968
91,6c4cf48742a55153dd574133a73a6932,15,4.316899908160945,4.958932386226151,0.748830207503351
92,6ed487d275984c8c141d40ad10664f46,12,3.7641621433138366,4.418651053931559,0.5628063503537041
93,703c70ff9f0c7a8e24757d0270a2e932,2,5.844402704482161,6.091783229984591,-1.0
94,713a6a94988cc13bf0bb50ad0cb0a015,3,5.196074022915895,5.555980291008018,0.31287800790272874
95,73e13f8273906f7f43a077f95ec48e7d,21,4.328080436766203,4.777189119814201,0.5329829470823976
96,76b564dca3ab4d899e5a30d3cbcb0aac,4,1.9868229046627086,2.3946585658601296,0.6835673698217357
97,791c580346256bca5c697d19170a50b5,11,2.4295161693062415,3.170439592216141,0.5398319474442645
98,79d8490ab94fc7cd6530b1f22593d708,7,3.9430222599968863,4.566174339486805,0.9382670718417119
99,7a5f7cc91bafe10c9708342bb197ea58,15,2.740406492644762,3.8679919423646325,0.587822587589129
100,7d2c632a05bbb03ca97555d61be83c41,27,3.7561346002952622,4.481174473614307,0.3249697395453429
101,7d41e1ac6994aa87a10a923b31b16cd8,3,0.9607230183587512,1.0801490564650666,0.9986866825613173
102,7dcfc929e033d32b768ff4b51bd6a748,10,4.405923042489073,5.161080405596926,0.8210780348351135
103,7e22b6d9cb821d7004409da02d95cb64,5,2.573566275230987,3.2121024568259844,0.1543673014668732
104,800994037be85bdfd6b3e43be70d02b3,8,4.590842174489955,5.490410775212367,0.8160968045960841
105,8391d8b451084771d0affcc26e34d773,9,3.634587313087129,4.1549143783399,0.8285543856778593
106,83a37a7ffd416a2e0a863c86166a97c8,7,2.2860564272951898,3.9232192806901605,0.7983861758039432
107,83e4705b8ead02d2659f4d4241183e17,31,3.276493527884401,4.0160588715759955,0.5147882270596981
108,84120765740b5395aa49a2feb12fbb43,22,4.044608117698815,4.95407262476304,0.6483207286162821
109,84875d7ec9c81d58d687aa4805c35c77,8,4.214348748166143,5.2702065686051975,0.623485571727558
110,8617ddac1f48b148e3683738519b2e7a,5,3.768652775165408,4.809226765678768,0.6189725186209959
111,862f10a8c357e957a59d122077b3a5ad,30,2.0248901439436553,2.589494028410217,0.2502513337063559
112,86a13f6d0bb7070ca042d60b2a582c4c,11,4.110555618966172,5.264348444324786,0.7780357832292638
113,8730e74690f38a87355bf45b00fc220e,9,4.784555209400249,5.3379870859122915,0.34608177414797486
114,87d88cba80cd67d705f61405fbe40da9,19,4.046213226666616,4.553375468190366,0.686533732419478
115,8c0c301d93ca93cae5c090caf21816ec,18,2.8725919239927773,3.5284718389273695,0.8936126679044535
116,8c644d8cbd193c5575bb826a8abaa245,4,5.531088293284822,5.658998141112555,0.5365298869175102
117,8c8ee0b0491acee56e6346c2af5c6cf4,13,4.106580393445948,5.063345089857839,0.7936784065386562
118,8ccf6026d9114437e881d73faa34ea51,9,4.6996979877954805,5.33192214537367,0.4055807843253989
119,8e12cde03a0eaf1a9c41596a81a1cf59,5,3.3173122265964716,3.6944120531889526,0.4134238818379169
120,8ee53a46a77476104276e6a1af54472c,12,3.953188550606599,4.302325315013773,0.5038027562237868
121,8ee7d10d8b836222ee69ff04247971a4,1,0.9348000219551649,0.9348000219551649,nan
122,8feafc5db9bf59d00a21335e69b57804,11,3.284239082854579,3.5433090983578355,0.6534301258667756
